id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,min_nights,num_reviews,last_review,reviews_pm,num_listings,availability_365,num_reviews_ltm,license
30268517,#B201 smaller private Boston,105851798,Anne,Dorchester,42.30724,-71.06438,Private room,51,29,15,4/22/2025,0.19,17,347,3,
30273160,"Bed, Bath and Beyond in Jamaica Plain",14303759,Susan,Jamaica Plain,42.29606,-71.11295,Private room,53,91,48,12/21/2019,0.58,2,266,0,
30286717,"Bed, Bath and Beyond II in Jamaica Plain",14303759,Susan,Jamaica Plain,42.2979,-71.1115,Private room,48,91,49,12/20/2019,0.62,2,265,0,
30297660,Karlie’s Place #2,192503522,Esther,Mattapan,42.27435,-71.09402,Private room,80,29,199,11/12/2023,2.41,2,270,0,STR-399036
30390378,"Blueground | Back Bay, gym, nr the common",107434423,Blueground,Bay Village,42.34992,-71.06943,Entire home/apt,375,32,1,12/12/2019,0.01,343,356,0,
30397078,"Blueground | Back Bay, gym, nr newbury st",107434423,Blueground,Back Bay,42.348633,-71.074088,Entire home/apt,488,32,0,,,343,0,0,
30425726,Triple Decker Guesthouse for up to 24 guests!,127718668,Muny,Dorchester,42.31436,-71.05746,Entire home/apt,780,1,53,9/14/2025,0.7,4,240,3,STR-423861
30484530,Large Studio Near HBS - Private Entrance / Bath,41397622,Robert,Allston,42.36195,-71.13171,Private room,,91,0,,,1,0,0,
30516467,"Blueground | South Boston, gym & doorman",107434423,Blueground,South Boston,42.34114,-71.04959,Entire home/apt,338,32,1,4/1/2025,0.17,343,305,1,
30533497,Fort Hill top -1Bk Private Room in Brick Townhouse,8513158,Kevin,Roxbury,42.32663,-71.0935,Private room,51,30,16,5/27/2025,0.2,3,242,2,STR-383293
30564539,Sunny Allston Bedroom,17892292,Marlene,Allston,42.36083,-71.13546,Private room,,91,1,7/4/2019,0.01,5,0,0,
30740992,"Charming Studio (Fenway, Back Bay, Symphony)",51502814,Nancy,Fenway,42.34129,-71.08766,Entire home/apt,170,2,150,9/9/2025,1.86,1,48,56,STR-409557
30929175,Luxury Back Bay Downtown Boston NEW CONDO,218473728,Tommy,South End,42.34567,-71.07291,Entire home/apt,,91,38,12/23/2019,0.47,1,0,0,
30955485,Luxury apt in the heart of Boston,183422988,Lauren,Chinatown,42.34934,-71.06121,Private room,,91,25,11/10/2019,0.31,1,0,0,
30981268,"BACK BAY walk to Berklee, Northeastern, Newbury St",180283497,Michelle,Fenway,42.34622,-71.0904,Entire home/apt,105,29,3,6/14/2021,0.04,7,282,0,
31039035,Basement room,27871799,Althea,Mattapan,42.27654,-71.0775,Private room,67,2,6,8/26/2019,0.08,6,326,0,STR-415974
31140376,Spacious  Room  5 min walk to T 10 mins to BC,200455160,Mo,Brighton,42.34383,-71.15546,Private room,,91,1,6/9/2019,0.01,5,0,0,
31161436,A minute walk from the Red Line (Shawmut) Room 3,67637928,Yuki,Dorchester,42.29204115,-71.06699076,Private room,50,50,5,8/26/2023,0.06,4,126,0,
