id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15023471,Phil's Harvard & MIT Home,6627353,Zheng,,Mid-Cambridge,42.37522,-71.11034,Entire home/apt,290,2,278,2025-09-21,2.75,1,131,57,STR-15209
15056521,Cambridge Vacation Rental Rooms M807 #2,32532791,Marie,,The Port,42.37019,-71.09931,Private room,192,3,53,2024-08-11,0.49,2,119,0,STR-12096
15084907,Sunny & Spacious w/FREE parking near Kendall/MIT,95410982,Kemi,,East Cambridge,42.367027,-71.079163,Entire home/apt,238,5,272,2025-09-25,2.55,1,103,28,C0200780491
15125756,Prime location Harvard/Porter Sq,3381894,Serena,,Neighborhood Nine,42.38344166766204,-71.1213668958754,Private room,81,2,451,2025-09-15,4.12,1,25,77,
15191990,Beautiful home w/parking. Walk to Harvard.,4883481,Debby,,Mid-Cambridge,42.37267,-71.10846,Entire home/apt,362,3,28,2025-05-31,0.26,1,5,1,STR-14868
15235520,One Bedroom Close to MIT (1532),51079261,Riverside,,Cambridgeport,42.3608,-71.0991,Private room,,1,57,2019-12-04,0.52,23,0,0,10794
15285943,Fully Furnished 1BR Apt | Gym | Panoramic views,95459395,Bluebird,,East Cambridge,42.363747,-71.083374,Entire home/apt,,31,1,2017-01-27,0.01,6,19,0,C0281180491
15295354,Luxury 1BR Apt | Washer/D | Gym | Cambridge MA,95459395,Bluebird,,East Cambridge,42.363747,-71.083374,Entire home/apt,,31,1,2017-02-03,0.01,6,19,0,C0281180491
15295836,Lavish 1BR Apt | Gym | Panoramic Views | Boston,95459395,Bluebird,,East Cambridge,42.363747,-71.083374,Entire home/apt,,31,1,2017-01-27,0.01,6,19,0,C0281180491
15295997,Spacious 2BR Apt | Washer/D | Panoramic Views,95459395,Bluebird,,East Cambridge,42.363747,-71.083374,Entire home/apt,,31,4,2023-07-08,0.04,6,333,0,C0281180491
15369556,Private & Clean 2BR Apt | Gym | East Cambridge,95459395,Bluebird,,East Cambridge,42.363747,-71.083374,Entire home/apt,,31,1,2018-10-05,0.01,6,333,0,C0281180491
15512578,private studio near Harvard/MIT,11659356,Suzanne Helen,,The Port,42.36672,-71.09938,Entire home/apt,149,3,389,2025-09-20,3.70,1,289,45,C0056470491
15645066,zzz 1 Bedroom in Kendall Square,43450256,Steve,,East Cambridge,42.36776,-71.08164,Entire home/apt,,1,199,2023-06-18,1.84,83,0,0,
15649111,2 Bed 2 Bath w/ Parking Blocks from Harvard,43450256,Steve,,Riverside,42.36551,-71.10812,Entire home/apt,318,18,4,2017-08-13,0.04,83,83,0,
15788977,1 bed apart KING Bd Harvard Square Red Line & MIT!,102134649,Cambridge,,Neighborhood Nine,42.37850731590697,-71.12330363980884,Entire home/apt,312,30,93,2025-09-23,0.87,2,357,11,C0191060491
